Council,Today [2023-10-19],This week,Total cases,Today (per 100 ppl),This week (per 100 ppl),Total cases (per 100 ppl)
Canterbury-Bankstown,7,77,176522,0.0018401392196758203,0.020241531416434023,46.4035793336593
Northern Beaches,3,37,131068,0.0010947267014789757,0.0135016293182407,47.82787976981546
Newcastle,1,9,94103,0.0005975036298345513,0.005377532668510961,56.22688407832078
Sydney,1,27,119219,0.0004020326772160041,0.01085488228483211,47.92993374501479
Lake Macquarie,0,13,109539,0,0.006256768138611478,52.72000962579714
Blacktown,17,116,209875,0.004440601727655284,0.030300576494588997,54.82184044656781
Wollongong,5,55,116759,0.0022748159673882384,0.02502297564127062,53.12104750725666
Inner West,2,32,89164,0.0009906875371507827,0.015851000594412523,44.16683178125619
Parramatta,10,54,106297,0.0038417801272397577,0.020745612687094694,40.836970218520456
Central Coast,11,52,169863,0.003180946707575569,0.015037202617629964,49.120468235355354
Sutherland Shire,3,33,122131,0.001291050010973925,0.014201550120713176,52.55907629675215
Hornsby,1,26,62984,0.0006560861834810621,0.017058240770507615,41.32293218037122
Blue Mountains,2,12,37602,0.0025254119578256204,0.015152471746953722,47.48027021907949
Ku-ring-gai,4,26,69982,0.0031347225378713667,0.020375696496163883,54.843538161328496
Penrith,15,64,120392,0.006935389907620606,0.029590996939181255,55.66436411721734
Liverpool,5,49,115507,0.0021617321527393468,0.0211849750968456,49.93903915329275
Bayside,1,23,80703,0.0005510491976723682,0.012674131546464469,44.47132339975313
Georges River,3,29,75561,0.0018718179095537585,0.018094239792352997,47.145477687930516
Cumberland,3,69,123953,0.001236226377774298,0.028433206688808856,51.07798940141919
Campbelltown,3,52,95751,0.0017233653879295489,0.029871666724112178,55.00465308654741
Fairfield,4,21,83812,0.0018973081939997628,0.009960868018498754,39.75429858887703
Randwick,2,17,78403,0.0012769842739386663,0.010854366328478663,50.059699014806625
The Hills Shire,12,68,113336,0.006529155399339468,0.03699854726292365,61.66569636162816
