Postcode,Today [2023-10-19],This week,Total cases,Today (per 100 ppl),This week (per 100 ppl),Total cases (per 100 ppl)
2000,0,1,15155,0,0.0030080616051016726,45.58717362531585
2007,0,2,3965,0,0.01999600079984003,39.642071585682864
2008,0,2,5589,0,0.01429081814933905,39.935691318327976
2009,0,1,5917,0,0.006821747731768879,40.36428132887646
2010,0,2,13264,0,0.006337938902268982,42.03321079984789
2011,0,1,8364,0,0.004101722723543888,34.30680885972108
2015,0,2,6179,0,0.016887612935911508,52.1742801654986
2016,0,3,7252,0,0.018628912071535025,45.03229011425733
2017,0,4,13928,0,0.012377386514837392,43.0980598446638
2018,0,5,9690,0,0.02342139778902005,45.390668915120855
2019,0,2,7402,0,0.014716703458425313,54.466519499632085
2020,1,3,11460,0.005374899220639613,0.01612469766191884,61.59634506852997
2021,0,1,6922,0,0.0058373708481699845,40.40628101103263
2022,0,3,6688,0,0.021551724137931036,48.04597701149425
2023,2,3,4929,0.01713208840157615,0.025698132602364226,42.22203186568442
2024,0,3,5543,0,0.024677140741959366,45.59513037756025
2025,0,1,3253,0,0.01233654083395016,40.13076733283987
2026,2,7,15976,0.005466870763175159,0.019134047671113055,43.66936365624317
2027,0,5,3200,0,0.05614192679092746,35.93083314619358
2028,0,4,2089,0,0.07779074290159471,40.626215480357835
2029,0,11,5153,0,0.10219249349684133,47.8725380899294
2030,0,6,6971,0,0.03974826101358066,46.18085458761179
2031,0,4,17708,0,0.010516629420270804,46.55711844353885
2032,1,2,7678,0.005423875901719368,0.010847751803438737,41.64451917340131
2033,0,3,6073,0,0.022039377020276227,44.61504554804584
2034,0,2,10666,0,0.008591434339963056,45.81811933502298
2035,0,2,18737,0,0.005283876251618187,49.50199466328498
2036,1,4,17600,0.002890173410404624,0.011560693641618497,50.86705202312138
2037,0,0,8472,0,0,44.2772028849169
2038,0,0,5097,0,0,48.986064392119175
2039,0,1,4373,0,0.010460251046025104,45.74267782426778
2040,0,4,12839,0,0.016358580075249467,52.50695239653198
2041,1,4,7698,0.005750100626760968,0.023000402507043872,44.26427462480593
2042,0,2,10913,0,0.009205983889528193,50.232451093210585
2043,0,1,5504,0,0.010509721492380452,57.84550709406201
2044,1,3,4660,0.011466574934067194,0.03439972480220158,53.434239192753125
2045,0,5,3739,0,0.07169486664754804,53.61342127903642
2046,0,4,14147,0,0.013651411214634313,48.2816286133579
2047,0,4,6071,0,0.030897574540398577,46.89479375868994
2048,0,2,4382,0,0.022818026240730177,49.994295493439814
2049,0,4,7135,0,0.03185981680605336,56.829948227797686
2050,1,1,5045,0.00947238798901203,0.00947238798901203,47.78819740456569
2060,0,1,6677,0,0.006217358865953743,41.51330514797314
2061,1,1,2550,0.015051173991571343,0.015051173991571343,38.38049367850692
2062,0,0,3516,0,0,45.78125
2063,0,3,3137,0,0.04401408450704225,46.02406103286385
2064,0,3,4581,0,0.028259231348907312,43.151846269781466
2065,0,6,15348,0,0.01779253899531463,45.51331475001482
2066,0,5,17498,0,0.01408609420779806,49.295695289610094
2067,1,5,12663,0.003422430610219378,0.01711215305109689,43.33823881720798
2068,0,2,8720,0,0.011130899376669634,48.53072128227961
2069,0,4,7462,0,0.025586899507452184,47.73236103115205
2070,0,0,7573,0,0,50.58108469142399
2071,0,1,6890,0,0.006732646603379789,46.38793509728674
2072,0,1,4396,0,0.011953143676786996,52.546019603155635
2073,0,1,8836,0,0.005639839828548869,49.83362472505781
2074,0,2,11368,0,0.008444162972345366,47.99662233481106
2075,2,5,11052,0.009073586788857635,0.022683966972144087,50.14064059522729
2076,2,12,12406,0.0077492347630671475,0.04649540857840288,48.06850323530551
2077,0,9,20389,0,0.021415314329224767,48.51520487317375
2079,1,1,4231,0.01279263144428809,0.01279263144428809,54.125623640782905
2080,0,1,880,0,0.05611672278338945,49.382716049382715
2081,0,0,2644,0,0,47.69119769119769
2082,0,0,2828,0,0,50.85416292033807
2083,0,0,650,0,0,40.82914572864321
2084,0,2,1841,0,0.052083333333333336,47.942708333333336
2085,0,5,6268,0,0.04094333442515558,51.32656403537504
2086,0,0,7537,0,0,53.45390070921986
2087,0,1,6773,0,0.007452120128176466,50.47320962813921
2088,0,1,12429,0,0.00324833522819555,40.37355855124249
2089,0,4,5160,0,0.030926240915416733,39.89485078088759
2090,2,3,5996,0.01342732460557234,0.02014098690835851,40.255119167505875
2092,0,2,3667,0,0.026567481402763018,48.711477151965994
2093,0,2,11982,0,0.008074935400516795,48.37693798449612
2094,1,2,2936,0.015042117930204572,0.030084235860409144,44.163658243080626
2095,0,0,7532,0,0,42.12527964205817
2096,0,2,7115,0,0.012246647480252282,43.56744841099749
2097,1,4,8405,0.005979788315493632,0.023919153261974527,50.26012079172398
2099,0,7,21881,0,0.01586618010381015,49.59541240735284
2100,0,1,12037,0,0.004348015131092656,52.3370581329623
2101,1,1,9530,0.0048234613158402466,0.0048234613158402466,45.96758633995755
2102,0,0,4250,0,0,51.8166300902219
2103,0,4,5198,0,0.034340659340659344,44.62568681318682
2104,0,1,1554,0,0.02577319587628866,40.051546391752574
2105,0,1,808,0,0.051387461459403906,41.52106885919836
2106,0,2,4381,0,0.020389438270975634,44.66306453257213
2107,0,0,6705,0,0,43.32794830371567
2108,0,0,670,0,0,37.59820426487093
2110,0,5,4943,0,0.04554563672800146,45.02641646930224
2111,1,5,8206,0.00630715862503942,0.031535793125197095,51.75654367707348
2112,1,5,18846,0.002577053911967838,0.01288526955983919,48.567158024945876
2113,1,7,15659,0.004603203829865586,0.0322224268090591,72.08156877186521
2114,1,4,12610,0.003692489476404992,0.014769957905619968,46.562292297466946
2115,0,0,6057,0,0,49.554119283318336
2116,0,3,3603,0,0.039973351099267154,48.00799467021985
2117,0,1,11182,0,0.004262938016881234,47.66817290476596
2118,1,7,13588,0.0035494977460689314,0.02484648422248252,48.23057537358464
2119,0,1,6286,0,0.00792393026941363,49.80982567353408
2120,0,8,11313,0,0.03754458419373005,53.09273512295851
2121,3,16,17302,0.008961108787860685,0.04779258020192365,51.68170141585519
2122,0,2,15343,0,0.005760700501180944,44.19321389480961
2124,0,0,1,No population,No population,No population
2125,0,5,8860,0,0.02905118819359712,51.4787054790541
2126,0,1,9868,0,0.005179736869367037,51.11364342691392
