POA_CODE_2021,Median_age_persons,Median_mortgage_repay_monthly,Median_tot_prsnl_inc_weekly,Median_rent_weekly,Median_tot_fam_inc_weekly,Average_num_psns_per_bedroom,Median_tot_hhd_inc_weekly,Average_household_size
POA2000,32,2800,941,625,2367,1.3,2225,2.1
POA2007,30,2500,772,500,2197,1.2,1805,2.1
POA2008,28,2600,860,525,2453,1.2,1746,1.9
POA2009,37,2800,1297,580,3035,1.1,2422,2.1
POA2010,36,2900,1479,550,3709,1.1,2297,1.7
POA2011,39,2500,1534,490,3565,1,2041,1.5
POA2015,34,2770,1582,558,3514,1.1,2607,2.1
POA2016,36,2811,1191,500,3263,1,2145,1.9
POA2017,32,2600,1216,575,2684,1.1,2104,1.9
POA2018,34,2500,973,520,2407,1,2017,2.3
POA2019,36,2773,1161,550,2834,1.1,2363,2.6
POA2020,30,2600,993,600,2394,1.2,2254,2.5
POA2021,37,3850,1652,595,4589,0.9,2823,2.1
POA2022,36,3467,1342,660,3460,1,2484,2.2
POA2023,39,3900,1575,650,4509,0.9,3315,2.5
POA2024,38,3900,1512,655,4259,1,3197,2.4
POA2025,42,4000,1638,670,4557,0.9,3013,2.2
POA2026,34,3400,1503,680,3685,1,2896,2.2
POA2027,46,3500,1709,750,4558,0.9,3027,2
POA2028,39,3000,1662,720,4250,0.9,3077,2.1
POA2029,40,3250,1398,630,3510,0.9,2539,2.3
POA2030,42,4329,1386,715,4557,0.9,3481,2.8
POA2031,36,3163,1373,580,3361,1,2514,2.3
POA2032,35,3000,793,450,2441,1,1746,2.4
POA2033,32,2760,943,500,2744,1,2118,2.3
POA2034,36,3400,1444,615,3660,1,2796,2.3
POA2035,40,3000,1008,540,2750,0.9,2151,2.5
POA2036,39,2760,927,520,2506,1,2050,2.6
POA2037,36,3000,1163,495,3183,1,2011,2
POA2038,38,3467,1442,570,3905,1,2683,2.3
POA2039,40,3500,1652,650,4372,1,3196,2.3
POA2040,38,3467,1368,580,3617,1,2727,2.4
POA2041,43,4000,1592,640,4602,0.9,3147,2.2
POA2042,34,3000,1297,540,3339,1,2328,2.1
POA2043,34,2800,1704,620,3766,1.1,3020,2
POA2044,36,2900,1234,630,3092,1,2619,2.5
POA2045,46,3674,996,530,3494,0.8,2761,2.8
POA2046,42,3014,1143,570,3051,0.9,2393,2.5
POA2047,42,3200,1388,600,3506,0.9,2776,2.3
