NAME,POSTCODE,LATITUDE,LONGITUDE,STATE_NAME
Aarons Pass,2850,-32.894875,149.804947,NSW
Abba River,6280,-33.680264,115.491119,WA
Abbey,6280,-33.660816,115.259682,WA
Abbeyard,3737,-36.915375,146.699905,VIC
Abbeywood,4613,-26.106869,151.627853,QLD
Abbotsbury,2176,-33.869968,150.865707,NSW
Abbotsford,2046,-33.848152,151.128143,NSW
Abbotsford,3067,-37.802361,144.998367,VIC
Abbotsford,4670,-24.867439,152.020493,QLD
Abbotsham,7315,-41.209511,146.177567,TAS
Abeckett Street,8006,-37.808792,144.962128,VIC
Abels Bay,7112,-43.231781,147.098785,TAS
Abercorn,4627,-25.13508,151.129501,QLD
Abercrombie,2795,-33.389397,149.550171,NSW
Abercrombie River,2795,-33.911297,149.346725,NSW
Aberdare,2325,-32.841282,151.366272,NSW
Aberdeen,2336,-32.167606,150.891525,NSW
Aberdeen,2359,-29.990816,151.04631,NSW
Aberdeen,7310,-41.240921,146.324295,TAS
Aberfeldie,3040,-37.754025,144.89003,VIC
Aberfeldy,3825,-37.699768,146.36174,VIC
Aberfoyle,2350,-30.259014,152.015656,NSW
Aberfoyle Park,5159,-35.076481,138.591934,SA
Aberglasslyn,2320,-32.700809,151.527344,NSW
Abergowrie,4850,-18.475279,145.88681,QLD
Abermain,2326,-32.814991,151.427994,NSW
Abernethy,2325,-32.88129,151.396957,NSW
Abingdon Downs,4871,-17.822241,143.757309,QLD
Abington,2350,-30.303312,151.205627,NSW
Abington,4660,-25.207483,152.343506,QLD
Acacia Creek,2476,-28.375261,152.324249,NSW
Acacia Gardens,2763,-33.734386,150.91272,NSW
Acacia Hills,822,-12.793038,131.125549,NT
Acacia Hills,7306,-41.276295,146.332825,TAS
Acacia Ridge,4110,-27.589491,153.027252,QLD
Acacia Ridge Bc,4110,-27.643444,153.002991,QLD
Acheron,3714,-37.258621,145.705032,VIC
Acland,4401,-27.303661,151.691208,QLD
Acton,2601,-35.277332,149.11821,ACT
Acton,7320,-41.072933,145.891083,TAS
Acton Park,6280,-33.762737,115.364037,WA
Acton Park,7170,-42.878578,147.48201,TAS
Ada,3833,-37.843727,145.868042,VIC
Adaminaby,2629,-35.996651,148.773972,NSW
Adams Estate,3984,-38.424706,145.532166,VIC
Adamstown,2289,-32.936909,151.725311,NSW
Adamstown Heights,2289,-32.949947,151.71315,NSW
Adamsvale,6375,-32.208813,117.710945,WA
Adare,4343,-27.528187,152.284607,QLD
Adavale,4474,-25.937271,144.961182,QLD
Addington,3352,-37.384544,143.673141,VIC
Adelaide,5000,-34.905552,138.610229,SA
Adelaide Airport,5950,-34.945404,138.523727,SA
Adelaide Bc,5000,-34.932831,138.603806,SA
Adelaide Lead,3465,-37.074684,143.677353,VIC
Adelaide Park,4703,-23.103043,150.719803,QLD
Adelaide River,846,-13.174828,131.140137,NT
Adelaide University,5005,-34.920727,138.605316,SA
Adelong,2729,-35.30798,148.063797,NSW
Adjungbilly,2727,-35.083996,148.402374,NSW
Advancetown,4211,-28.046844,153.289886,QLD
Adventure Bay,7150,-43.352795,147.324417,TAS
Aeroglen,4870,-16.880753,145.744843,QLD
Afterlee,2474,-28.586899,152.829117,NSW
Agery,5558,-34.132172,137.69986,SA
Agnes,3962,-38.668884,146.397583,VIC
Agnes Banks,2753,-33.61293,150.712952,NSW
Agnes Water,4677,-24.212984,151.90274,QLD
Aherrenge,872,-19.491411,132.550964,NT
Ainslie,2602,-35.26268,149.144821,ACT
Airdmillan,4807,-19.533792,147.454544,QLD
Airds,2560,-34.084057,150.828995,NSW
Aire Valley,3237,-38.703152,143.574768,VIC
Aireys Inlet,3231,-38.457088,144.107208,VIC
Airlie Beach,4802,-20.268721,148.71846,QLD
Airly,3851,-38.005596,147.081085,VIC
Airport West,3042,-37.725616,144.88147,VIC
Airville,4807,-19.642618,147.377457,QLD
